Id,Name,Image,More
1,brad pitt,https://user-images.githubusercontent.com/46791116/120309629-5b40f500-c2cd-11eb-8932-c462908f5543.png,https://en.wikipedia.org/wiki/Brad_Pitt
3,johnson dwayne,https://user-images.githubusercontent.com/46791116/120309655-6562f380-c2cd-11eb-9e93-c6b4b73f4499.png,https://en.wikipedia.org/wiki/Dwayne_Johnson
5,jony deep,https://user-images.githubusercontent.com/46791116/120309691-6f84f200-c2cd-11eb-90ff-f7294c93b5ac.png,https://en.wikipedia.org/wiki/Johnny_Depp
7,leonardo dicaprio,https://user-images.githubusercontent.com/46791116/120309721-7a3f8700-c2cd-11eb-8019-05654fb62f8d.png,https://en.wikipedia.org/wiki/Leonardo_DiCaprio
9,matt damon,https://user-images.githubusercontent.com/46791116/120309786-8b889380-c2cd-11eb-9095-0f521f2525ab.png,https://en.wikipedia.org/wiki/Matt_Damon
11,morgan freman,https://user-images.githubusercontent.com/46791116/120309828-96432880-c2cd-11eb-9f9e-80d58a33931c.png,https://en.wikipedia.org/wiki/Morgan_Freeman
13,petyr baelish,https://user-images.githubusercontent.com/46791116/120309859-a0fdbd80-c2cd-11eb-9364-1912f314eb66.png,https://en.wikipedia.org/wiki/Petyr_Baelish
15,robert de niro,https://user-images.githubusercontent.com/46791116/120309961-becb2280-c2cd-11eb-8bee-c9d82c95016d.png,https://en.wikipedia.org/wiki/Robert_De_Niro
17,samuel l jackson,https://user-images.githubusercontent.com/46791116/120309990-cab6e480-c2cd-11eb-8fe6-6844ef8e99a5.png,https://en.wikipedia.org/wiki/Samuel_L._Jackson
19,Tom Cruise,https://user-images.githubusercontent.com/46791116/120310058-dd311e00-c2cd-11eb-8228-d1a958773cab.png,https://en.wikipedia.org/wiki/Tom_Cruise
21,tom hanks,https://user-images.githubusercontent.com/46791116/120310092-e621ef80-c2cd-11eb-8168-b75c804fa802.png,https://en.wikipedia.org/wiki/Tom_Hanks
23,will smith,https://user-images.githubusercontent.com/46791116/120310120-ef12c100-c2cd-11eb-92c2-26d49065667e.png,https://en.wikipedia.org/wiki/Will_Smith
2,angelina jolie,https://user-images.githubusercontent.com/46791116/120310205-094c9f00-c2ce-11eb-81f0-dd4724f1f61d.png,https://en.wikipedia.org/wiki/Angelina_Jolie
4,charlize theron,https://user-images.githubusercontent.com/46791116/120310247-15386100-c2ce-11eb-9e58-6c8cc5611e08.png,https://en.wikipedia.org/wiki/Charlize_Theron
6,ema stone,https://user-images.githubusercontent.com/46791116/120310265-1c5f6f00-c2ce-11eb-84f8-6a579c8032ce.png,https://en.wikipedia.org/wiki/Emma_Stone
8,halle berry,https://user-images.githubusercontent.com/46791116/120310291-25504080-c2ce-11eb-9337-7e4cc6ab7430.png,https://en.wikipedia.org/wiki/Halle_Berry
10,jennifer aniston,https://user-images.githubusercontent.com/46791116/120310324-2ed9a880-c2ce-11eb-96f3-b2b86abde1ab.png,https://en.wikipedia.org/wiki/Jennifer_Aniston
12,jennifer lowrence,https://user-images.githubusercontent.com/46791116/120310657-8415ba00-c2ce-11eb-8229-6e8fd1d61628.png,https://en.wikipedia.org/wiki/Jennifer_Lawrence
14,julianne moore,https://user-images.githubusercontent.com/46791116/120310416-49138680-c2ce-11eb-81ec-4d81f224365a.png,https://en.wikipedia.org/wiki/Julianne_Moore
16,margot robbie,https://user-images.githubusercontent.com/46791116/120310717-968ff380-c2ce-11eb-9095-5305057044d7.png,https://en.wikipedia.org/wiki/Margot_Robbie
18,meryl streep,https://user-images.githubusercontent.com/46791116/120310758-a3ace280-c2ce-11eb-8016-e6cd47a5c844.png,https://en.wikipedia.org/wiki/Meryl_Streep
20,Natalie Portman,https://user-images.githubusercontent.com/46791116/120310785-ab6c8700-c2ce-11eb-80ff-bbcaed4588b8.png,https://en.wikipedia.org/wiki/Natalie_Portman
22,nikol kidman,https://user-images.githubusercontent.com/46791116/120310822-b45d5880-c2ce-11eb-873c-867f8a0fbeae.png,https://en.wikipedia.org/wiki/Nicole_Kidman
24,scarlette johansson,https://user-images.githubusercontent.com/46791116/120310927-d0f99080-c2ce-11eb-9c68-c26f27ece344.png,https://en.wikipedia.org/wiki/Scarlett_Johansson
25,DRIOUCHE Adnane,https://user-images.githubusercontent.com/46791116/120365780-c6f38400-c306-11eb-88d4-12f696597f18.png,https://ma.linkedin.com/in/adnane-driouche-275763177
